병원이름,,,주소,전화번호,좌표(X),좌표(Y)
365그린가족의원,경기,평택시,"경기도 평택시 지제동삭1로 41, 130동 2층 34, 35호, 1층 15호 (지제동, 지제역 더샵 센트럴시티)",031-654-7585,127.0755138,37.0229222
365소사벌종합의원,경기,평택시,"경기도 평택시 평남로 951, 디에이치빌딩 101호,201호 (비전동)",,127.1034104,37.0052676
365연합의원,경기,평택시,"경기도 평택시 송탄로40번길 79-16, (이충동)",031-611-2119,127.0573059,37.0520932
365일 열린의원,경기,평택시,"경기도 평택시 경기대로 1511, 1,2,3층 (지산동)",031-664-3651,127.0627106,37.0793397
365종합의원,경기,오산시,"경기도 오산시 경기대로 133, 오렌지팩토리아울렛 1층 (원동)",031-378-0365,127.0727361,37.1367571
LG전자(주)평택공장 부속의원,경기,평택시,"경기도 평택시 진위면 엘지로 222, (진위면)",031-610-5181,127.0916202,37.1290327
WIP성형외과의원,경기,평택시,"경기도 평택시 고덕로 247, 504로 601호~604호,701호~704호 (고덕동)",031-647-0455,127.0276759,37.0366002
강남뷰베스트의원,경기,평택시,"경기도 평택시 중앙2로 25, 5층 (평택동)",031-692-2789,127.0898733,36.9917536
강남성모안과의원,경기,안성시,"경기도 안성시 중앙로 370, 2층 (석정동, 하평플리스)",031-671-1505,127.2678542,37.0076411
강남성모이비인후과의원,경기,오산시,"경기도 오산시 수청로 193, P&P세교프라자 3층 303,302-1호 (금암동)",376-5005,127.0455185,37.1766517
강남성형외과의원,경기,오산시,"경기도 오산시 오산로 209, 6층 (오산동)",031-377-7575,127.0681826,37.1454049
강남셀럽의원,경기,평택시,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 7층 705,706호 (고덕동)",031-611-3677,127.0474102,37.0565574
강남소아청소년과의원,경기,평택시,"경기도 평택시 안중읍 안현로서6길 68, 3층",031-681-6555,126.9216156,36.9847915
강남재준성형외과의원,경기,평택시,"경기도 평택시 평택5로20번길 38, (합정동)",031-647-3119,127.1138885,36.9899572
강내과의원,경기,안성시,"경기도 안성시 금산길 8, 2층 (연지동)",675-2255,127.2708462,37.0113005
강정협내과의원,경기,오산시,"경기도 오산시 성호대로 89, 204호 (오산동, 세명프라자)",031-377-8081,127.0713995,37.1491526
건강드림내과의원,경기,평택시,"경기도 평택시 지산로 64, 1,2,3,4,5층 (지산동)",031-666-8275,127.0620647,37.0797134
건강한가족의원,경기,오산시,"경기도 오산시 성호대로 121, 월드타워 3층 302,304호 (오산동)",031-377-5355,127.0748375,37.1490571
건강한내과의원,경기,평택시,"경기도 평택시 서동대로 3879, 5층 (용이동, 제이플러스)",031-658-2335,127.1378517,36.9942774
경기도립 안성휴게소의원,경기,안성시,"경기도 안성시 원곡면 경부고속도로 372, (원곡면)",031-662-2402,127.1324553,37.0767838
경기성모안과의원,경기,평택시,"경기도 평택시 탄현로 58, 강희프라자 2,6층 (서정동)",031-8054-0996,127.0539603,37.0576314
경희마취통증 의학과 의원,경기,안성시,"경기도 안성시 중앙로 359, (석정동)",031-675-7319,127.2668926,37.0082719
계현정형외과의원,경기,평택시,"경기도 평택시 중앙로 296, (합정동)",031-618-6600,127.1155381,36.9904766
