요양기관명,주소,전화번호,FAX,좌표(X),좌표(Y)
1층약국,"경기도 안성시 남파로 75, 1층 8호 (당왕동)",,,127.2583781,37.0167484
21세기 동규약국,"경기도 오산시 대원로 1, (오산동)",031-374-3680,,127.068641,37.1466082
365녹십자약국,"경기도 평택시 중앙로 2, (통복동)",031-652-3307,,127.0835289,36.9954122
365세심당약국,"경기도 안성시 인지2길 6, 1층 (인지동)",031-672-0365,,127.2674558,37.0052865
365스마일약국,"경기도 오산시 죽담안로 38-15, 1층 103호 (궐동)",070-4032-8864,,127.0521088,37.1636716
365약국,"경기도 평택시 소사5길 120, 106호 (소사동)",031-618-3365,,127.1264616,36.99168
365열린약국,"경기도 평택시 평남로 1047-1, 102호 (동삭동)",,,127.0949142,37.0094348
365열린약국,"경기도 오산시 경기대로 133, 1층 102호 (원동)",031-374-0360,,127.0727361,37.1367571
365중앙약국,"경기도 평택시 안중읍 안현로서6길 18, (안중읍)",031-683-0963,,126.9274119,36.9841948
4층새빛약국,"경기도 평택시 신촌2로 22, B동 405호 (칠원동)",031-611-1655,,127.1040567,37.0260471
GS약국,"경기도 평택시 관광특구로 31, (서정동)",031-667-6564,,127.0625582,37.0671053
가까운 정문 약국,"경기도 안성시 남파로 99, 1층 (당왕동)",031-674-7789,,127.2612708,37.0165473
가온약국,"경기도 오산시 수청로 199, 정원프라자 102호 (금암동)",,,127.0448233,37.1764456
강남약국,"경기도 평택시 평택로 54, (평택동, 외1필지)",031-692-7575,,127.0865895,36.9922498
건강백세 온누리약국,"경기도 안성시 고삼면 고삼호수로 10, (고삼면)",031-672-8836,,127.2615964,37.0829364
건강약국,"경기도 평택시 평택2로20번길 8, (평택동)",657-4196,,127.0887786,36.9927437
건강약국,"경기도 오산시 성호대로 89, (오산동, 세명프라자)",031-374-7275,,127.0713995,37.1491526
건강한약국,"경기도 안성시 장기로 9, S TOWER (석정동)",031-671-2627,,127.2659215,37.0077564
건약국,"경기도 평택시 평택4로 41, 1층 (합정동)",031-652-9456,,127.100359,36.9917538
경기약국,"경기도 평택시 중앙시장로19번길 17, (신장동)",031-666-8549,,127.0520577,37.0808866
경기약국,"경기도 오산시 오산로 302, (오산동)",031-375-6165,,127.0688177,37.1539633
경기약국,"경기도 평택시 중앙로 21-1, (통복동)",031-655-5466,,127.0857519,36.9952561
경담온누리약국,"경기도 오산시 수목원로 600, 101호 (세교동)",031-377-7893,,127.0425623,37.18506
경희온누리약국,"경기도 안성시 대덕면 서동대로 4723, (대덕면)",031-672-1649,,127.2255919,37.0131929
고덕365약국,"경기도 평택시 고덕로3길 22, 104호 (고덕동)",,,127.0265678,37.0371155
고덕드림약국,"경기도 평택시 고덕여염9길 38, 105,106호 (고덕동)",031-611-6789,,127.0509675,37.0401502
고덕메디칼약국,"경기도 평택시 고덕면 동청1길 35, 102호",031-611-0137,,127.006249,37.0550184
고덕미소약국,"경기도 평택시 고덕로 246, 102호 (고덕동)",,,127.0278885,37.0359967
고덕스타약국,"경기도 평택시 고덕국제대로 77, 301동 b1113호 (고덕동, 힐스테이트 고덕 센트럴)",,,127.041903,37.0443655
고덕우리약국,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 118호 (고덕동)",031-611-0662,,127.0442098,37.0477733
고덕중앙약국,"경기도 평택시 고덕면 궁2길 67, 103호",031-667-0116,,127.0343905,37.0180474
고려사약국,"경기도 평택시 중앙2로 25, (평택동)",618-7143,,127.0898733,36.9917536
고유약국,"경기도 평택시 평택로 51, 평택민자역사 (평택동)",,,127.0846944,36.9909191
고현약국,"경기도 오산시 남부대로 411-12, 주광프라자 104호 (고현동)",031-663-3210,,127.0820253,37.1358393
공단약국,"경기도 평택시 포승읍 평택항로 180, 한샘빌딩 1층 103,104호",031-683-3567,,126.8432367,36.9749658
공도강약국,"경기도 안성시 공도읍 공도로 80, (공도읍)",031-618-1963,,127.1700036,36.999303
공도바른약국,"경기도 안성시 공도읍 공도로 116-16, 101호",031-653-0755,,127.1731197,36.9992996
공도약국,"경기도 안성시 공도읍 공도로 83, 1층",031-657-1880,,127.170316,36.9998013
공도현대약국,"경기도 안성시 공도읍 승두길 60, (공도읍)",031-654-4613,,127.1728339,36.9998397
공룡약국,"경기도 평택시 안중읍 안현로서8길 57, 211호 (붐붐프라자)",031-684-0511,,126.9194166,36.9790824
공진한약국,"경기도 오산시 수청로 13, 상가동 101호 (수청동, 호반 써밋 라테라스)",031-378-6552,,127.0562482,37.171794
광동약국,"경기도 안성시 공도읍 진사길 23, 29호 (광동아이비타운)",070-7782-7575,,127.1390034,36.9922747
광명약국,"경기도 안성시 장기로 40, 1층 (인지동)",031-675-4460,,127.2676157,37.0056074
광장약국,"경기도 오산시 대원로 2, (원동)",031-375-8747,,127.068693,37.1462902
광혜당약국,"경기도 평택시 안중읍 안현로 429, 서경빌딩 1층",031-684-0123,,126.9316706,36.9881472
구생당약국,"경기도 평택시 탄현로327번길 4-1, (신장동)",031-664-9752,,127.0557509,37.0816349
구세약국,"경기도 평택시 중앙로 162, (합정동)",031-655-2253,,127.1010217,36.9919399
국민약국,"경기도 평택시 탄현로 320, (지산동)",031-667-7381,,127.0558676,37.0808352
국민약국,"경기도 안성시 원곡면 청원로 1892-3, (원곡면)",031-652-3434,,127.1268382,37.0350725
굿모닝 약국,"경기도 안성시 중앙로 368, 모아빌딩 (석정동)",031-677-9733,,127.2676156,37.0077318
굿모닝팜약국,"경기도 평택시 조개터로48번길 35, (합정동)",031-656-9528,,127.1046863,36.9907575
그린약국,"경기도 오산시 오산로 235, 이효리빌딩 101-1호 (오산동)",031-831-5678,,127.0682606,37.1479851
그린약국,"경기도 평택시 중앙2로 15, 1층 (평택동)",031-647-0183,,127.0888129,36.9918583
기린약국,"경기도 안성시 중앙로 370, 307호 (석정동)",031-675-2825,,127.2678542,37.0076411
기분좋은온누리약국,"경기도 평택시 고덕중앙2로 39, 고은메디타워 1층 108,109호 (고덕동)",031-647-6803,,127.0402869,37.0451903
기쁨약국,"경기도 안성시 일죽면 주래본죽로 20, (일죽면)",031-674-1366,,127.476723,37.093891
기쁨약국,"경기도 오산시 오산로 349, 죽산빌딩 1층 (궐동)",031-378-3893,,127.0668691,37.157871
꽃피는약국,"경기도 평택시 송탄로40번길 79-16, 103호 (이충동)",031-665-3213,,127.0573059,37.0520932
나라약국,"경기도 평택시 평택로32번길 21, (평택동)",031-618-6647,,127.0887825,36.9912767
나래약국,"경기도 평택시 중앙로 66, (평택동)",031-656-9277,,127.0904677,36.9938613
나무약국,"경기도 평택시 평택5로20번길 38, (합정동)",031-652-0671,,127.1138885,36.9899572
나음약국,"경기도 평택시 중앙로 270, 1층 101호 (합정동)",031-657-5002,,127.1126819,36.9898922
남촌약국,"경기도 오산시 성호대로 35, (오산동)",031-374-5230,,127.0651781,37.1494455
